Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
1.0;0;2;13;1;2;78;0;1;15;0;66;2;115;0;Refused Bequest;none;none;none;none;none
0.0;1;2;4;0;1;26;3;1;4;0;18;0;25;60;none;none;none;none;none;none
0.0;2;2;7;2;1;46;2;1;5;2;17;0;43;65;none;none;none;none;none;none
0.0;5;1;12;2;0;24;0;2;12;0;12;0;100;0;none;none;none;none;none;none
0.0;0;_;3;6;0;5;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;1;1;3;1;0;5;0;1;3;0;3;0;100;0;none;none;none;none;none;none
0.0;6;4;9;2;1;97;1;1;12;0;54;3;122;80;none;none;none;none;none;none
0.0;6;1;9;1;0;16;0;1;7;0;20;0;78;0;none;none;none;none;none;none
0.0;0;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
1.0;5;3;8;0;1;45;2;1;8;0;33;3;75;9;none;none;none;none;none;none
0.0;0;1;1;0;3;16;0;1;1;0;62;0;100;0;Refused Bequest;none;none;none;none;none
4.0;22;7;15;0;2;265;2;1;20;0;92;4;120;82;none;none;none;none;none;none
0.0;3;1;1;1;1;31;0;1;5;0;16;0;500;16;none;none;none;none;none;none
0.0;5;1;2;1;2;39;0;1;5;0;23;0;250;50;none;none;none;none;none;none
0.0;14;10;18;7;1;494;0;8;18;0;96;3;100;79;none;none;none;none;none;none
1.0;1;2;4;2;1;20;0;1;1;3;13;0;25;58;none;none;none;none;none;none
0.0;0;1;4;1;2;32;4;1;4;0;29;0;0;71;none;none;none;none;none;none
1.0;0;2;12;6;2;65;6;1;12;0;39;1;50;73;none;none;none;none;none;none
0.0;1;1;3;3;3;12;1;1;2;1;39;0;33;33;none;none;none;none;none;none
0.0;3;2;14;11;1;57;6;1;15;0;29;1;64;87;none;none;none;none;none;none
1.0;6;1;12;2;2;82;5;1;13;0;43;2;67;84;none;none;none;none;none;none
0.0;8;4;9;3;1;70;2;1;10;0;36;1;89;75;none;none;none;none;none;none
2.0;0;3;5;2;1;47;0;2;5;0;22;1;100;40;none;none;none;none;Data Class;none
0.0;0;1;1;0;1;18;0;1;1;0;12;0;100;19;none;none;none;none;none;none
1.0;8;8;6;1;1;86;0;1;6;0;37;7;100;57;none;none;none;none;none;none
0.0;5;1;6;1;0;8;0;1;6;0;6;0;100;0;none;none;none;none;none;none
0.0;0;1;3;0;0;5;0;1;3;0;3;0;100;0;none;none;none;none;none;none
0.0;1;1;4;3;0;6;0;1;4;0;4;0;100;0;none;none;none;none;none;none
0.0;2;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;3;2;11;7;1;74;6;1;13;0;32;1;64;74;none;Feature Envy;none;none;none;none
0.0;3;2;1;1;0;75;0;2;1;0;4;0;100;0;none;none;none;none;none;none
0.0;5;2;11;0;1;72;0;1;12;0;26;2;109;90;none;none;none;none;none;none
4.0;15;7;3;0;1;141;0;3;12;0;42;4;400;84;none;none;none;none;none;none
0.0;2;1;1;0;2;7;0;1;1;0;25;0;100;0;none;none;none;none;none;none
0.0;0;_;2;1;1;4;0;1;0;2;11;0;0;0;none;none;none;none;none;none
0.0;1;2;4;2;4;23;1;1;5;0;129;1;100;19;Refused Bequest;none;none;none;none;none
0.0;7;9;6;4;1;104;0;5;6;0;31;1;100;100;none;none;none;none;none;none
0.0;2;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;3;1;1;0;1;6;0;1;1;0;16;1;100;0;none;none;none;none;none;none
0.0;2;4;1;0;1;17;0;1;1;0;16;1;100;0;none;none;none;none;none;none
0.0;3;1;1;0;1;6;0;1;1;0;16;1;100;0;none;none;none;none;none;none
0.0;7;6;5;0;1;67;0;2;6;0;30;3;120;60;none;none;none;none;none;none
0.0;1;1;2;1;0;4;0;1;2;0;2;0;100;0;none;none;none;none;none;none
0.0;0;3;3;1;3;32;0;1;4;0;66;0;133;66;Refused Bequest;none;none;none;none;none
2.0;10;4;2;0;1;25;0;1;2;0;30;7;100;33;none;none;none;none;none;none
0.0;7;3;2;0;1;22;0;1;2;0;23;4;100;33;none;none;none;none;none;none
1.0;16;7;2;0;1;60;0;1;4;0;50;9;200;60;none;none;none;none;none;none
0.0;1;_;22;1;1;47;0;1;0;1;11;0;0;0;none;none;none;none;none;none
2.0;4;5;6;0;2;82;3;1;7;0;34;1;67;54;none;none;none;none;none;none
2.0;12;10;0;0;1;307;0;6;9;0;71;3;9;78;none;none;none;none;none;none
0.0;7;10;0;0;1;53;0;1;2;0;24;3;2;58;none;none;none;none;none;none
2.0;4;4;0;0;1;32;0;1;3;0;18;2;3;60;none;none;none;none;none;none
0.0;2;2;6;3;1;43;5;1;6;0;20;0;17;66;none;none;none;none;none;none
0.0;2;2;1;1;1;15;0;1;2;0;14;1;200;33;none;none;none;none;none;none
0.0;3;2;0;0;1;39;0;1;7;0;25;2;7;37;none;none;none;none;none;none
0.0;10;2;6;1;1;65;0;2;6;0;35;4;100;50;none;none;none;none;none;none
0.0;2;2;2;0;1;22;0;1;2;0;16;0;100;16;none;none;none;none;none;none
2.0;15;5;3;0;1;113;0;1;4;0;41;6;133;37;none;none;none;none;none;none
0.0;1;1;3;3;1;24;1;1;4;0;20;0;100;58;none;none;none;none;none;none
0.0;2;1;4;4;0;6;0;1;4;0;4;0;100;0;none;none;none;none;none;none
0.0;2;1;5;1;0;7;0;1;5;0;5;0;100;0;none;none;none;none;none;none
2.0;13;6;1;1;2;72;0;2;5;0;37;5;500;33;Refused Bequest;none;none;none;none;none
0.0;1;1;2;1;0;5;0;1;2;0;2;0;100;0;none;none;none;none;none;none
2.0;16;6;1;0;2;112;0;2;9;0;52;6;900;72;none;none;none;none;none;none
0.0;5;1;9;1;0;11;0;1;9;0;9;0;100;0;none;none;none;none;none;none
0.0;1;1;3;0;0;5;0;1;3;0;3;0;100;0;none;none;none;none;none;none
0.0;14;4;3;0;2;96;1;2;6;0;44;5;167;52;none;none;none;none;none;none
0.0;3;1;8;1;0;11;0;1;8;0;8;0;100;0;none;none;none;none;none;none
0.0;3;4;1;0;1;25;0;2;1;0;17;2;100;0;none;none;none;none;none;none
0.0;1;1;2;1;1;8;0;1;0;2;11;0;0;0;none;none;none;none;none;none
0.0;1;2;0;0;1;54;0;2;3;0;24;0;3;50;none;none;none;none;none;none
2.0;2;2;3;2;1;35;0;1;5;0;25;1;167;63;none;none;none;none;none;none
2.0;15;13;2;0;1;129;0;3;4;0;48;6;200;60;none;none;none;none;none;none
0.0;0;1;1;0;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;3;1;5;1;0;7;0;1;5;0;5;0;100;0;none;none;none;none;none;none
2.0;17;12;1;0;1;183;0;5;7;0;66;6;700;56;none;none;none;none;none;none
0.0;3;1;7;1;0;9;0;1;7;0;7;0;100;0;none;none;none;none;none;none
0.0;0;1;0;0;1;6;0;1;0;0;11;0;0;0;none;none;none;none;none;none
2.0;7;6;0;0;1;27;0;1;2;0;22;2;2;33;none;none;none;none;none;none
0.0;2;1;10;1;0;12;0;1;10;0;10;0;100;0;none;none;none;none;none;none
1.0;11;5;18;1;1;167;0;3;16;0;52;3;89;92;none;none;none;none;none;none
0.0;1;1;5;1;0;7;0;1;5;0;5;0;100;0;none;none;none;none;none;none
0.0;0;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;6;2;3;3;1;25;0;1;5;0;21;1;167;40;none;none;none;none;none;none
0.0;3;1;0;0;2;7;0;1;1;0;22;1;1;0;none;none;none;none;none;none
0.0;4;1;1;0;2;33;0;1;3;0;24;0;300;50;none;none;none;none;none;none
1.0;4;1;0;0;2;14;0;1;1;0;23;1;1;0;none;none;none;none;none;none
0.0;3;1;2;1;0;4;0;1;2;0;2;0;100;0;none;none;none;none;none;none
1.0;14;3;1;0;1;53;0;2;1;0;25;2;100;41;none;none;none;none;Data Class;none
0.0;2;1;4;2;0;6;0;1;4;0;4;0;100;0;none;none;none;none;none;none
1.0;2;3;2;2;1;49;0;1;3;0;18;1;150;50;none;none;none;none;none;none
1.0;7;1;2;0;2;34;0;1;5;0;35;2;250;50;none;none;none;none;none;none
0.0;5;1;0;0;2;12;0;1;1;0;24;2;1;0;none;none;none;none;none;none
0.0;2;1;12;0;0;68;0;2;8;0;8;0;67;_;none;none;none;none;none;none
0.0;0;_;0;0;1;14;0;1;0;0;11;0;0;_;none;none;none;none;none;none
0.0;0;1;2;1;0;4;0;1;2;0;20;0;100;0;none;none;none;none;none;none
0.0;0;1;5;0;1;28;4;1;5;0;16;0;20;54;none;none;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;0;4;0;0;0;25;0;2;0;0;18;0;0;0;none;none;none;none;none;none
0.0;1;4;2;2;1;23;0;1;2;0;17;1;100;0;none;none;none;none;none;none
0.0;0;_;0;0;0;2;0;1;0;0;0;0;0;0;none;none;none;none;none;none
1.0;0;2;5;0;2;28;0;1;5;0;62;1;100;0;none;none;none;none;none;none
0.0;2;2;2;0;2;18;0;1;2;0;56;1;100;0;none;none;none;none;none;none
0.0;3;2;2;0;2;20;0;1;2;0;57;2;100;0;none;none;none;none;none;none
0.0;0;2;2;0;2;20;0;1;2;0;56;1;100;0;none;none;none;none;none;none
1.0;6;3;5;1;2;58;0;1;8;0;74;2;160;65;none;none;none;none;none;none
0.0;0;1;0;0;3;5;0;1;0;0;54;0;0;0;none;none;none;none;none;none
0.0;2;2;3;0;2;34;1;1;3;0;60;1;67;60;Refused Bequest;none;none;none;none;none
0.0;0;1;2;0;2;18;0;1;2;0;56;2;100;0;none;none;none;none;none;none
0.0;1;1;2;0;2;16;0;1;2;0;56;1;100;0;none;none;none;none;none;none
0.0;0;1;2;0;2;16;0;1;2;0;54;0;100;0;none;none;none;none;none;none
0.0;0;_;0;0;0;2;0;1;0;0;18;0;0;0;none;none;none;none;none;none
0.0;0;1;2;1;0;4;0;1;1;0;19;0;50;0;none;none;none;none;none;none
0.0;0;_;0;0;0;2;0;1;0;0;18;0;0;0;none;none;none;none;none;none
0.0;1;1;1;0;0;4;0;1;1;0;19;0;100;0;none;none;none;none;none;none
0.0;1;2;6;1;1;43;2;1;6;0;20;1;67;35;none;none;none;none;none;none
1.0;8;2;17;10;1;121;5;2;23;0;64;3;106;89;none;none;none;none;none;none
0.0;0;1;0;0;1;7;0;1;2;0;13;0;2;0;none;none;none;none;none;none
0.0;2;1;18;2;0;20;0;1;18;0;18;0;100;0;none;none;none;none;none;none
0.0;0;1;1;0;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;3;5;11;0;1;71;3;1;11;0;32;0;73;77;none;none;none;none;none;none
0.0;0;_;0;0;0;2;0;1;0;0;18;0;0;0;none;none;none;none;none;none
0.0;1;1;7;0;0;9;0;1;7;0;25;0;100;0;none;none;none;none;none;none
0.0;0;_;0;0;0;2;0;1;0;0;18;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;0;2;0;1;0;0;18;0;0;0;none;none;none;none;none;none
0.0;0;1;0;0;4;13;0;1;0;0;24;0;0;0;none;none;none;none;none;none
0.0;1;1;5;0;0;93;0;4;5;0;7;0;100;0;none;none;none;none;none;none
0.0;0;1;8;0;0;10;0;1;8;0;8;0;100;0;none;none;none;none;none;none
0.0;0;1;9;0;1;50;6;1;9;0;28;0;33;72;none;none;none;none;none;none
0.0;4;1;1;0;1;26;0;1;1;0;14;0;100;0;none;none;none;none;none;none
0.0;4;1;4;8;1;22;0;2;5;0;22;1;125;0;none;none;none;none;none;none
0.0;2;1;2;2;0;4;0;1;2;0;2;0;100;0;none;none;none;none;none;none
0.0;1;1;3;8;0;5;0;1;3;0;3;0;100;0;none;none;none;none;none;none
2.0;10;3;12;1;3;99;0;1;12;1;118;5;100;90;Refused Bequest;none;none;none;none;none
0.0;1;1;6;4;0;8;0;1;6;0;6;0;100;0;none;none;none;none;none;none
0.0;1;4;10;0;1;66;2;1;10;0;31;0;80;29;none;none;none;none;none;none
0.0;0;1;5;8;0;7;0;1;4;0;7;0;80;0;none;Feature Envy;none;none;none;none
0.0;2;1;3;1;2;19;0;1;3;0;31;0;100;0;none;none;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;8;0;100;0;none;none;none;none;none;none
0.0;3;3;2;0;3;74;0;2;2;0;39;0;100;66;none;none;none;none;none;none
1.0;4;3;9;1;1;58;0;1;10;0;36;2;111;84;none;none;none;none;none;none
2.0;0;4;4;2;1;70;0;2;6;0;32;2;150;50;none;none;none;none;none;none
0.0;1;1;0;0;1;15;0;1;1;0;12;0;1;16;none;none;none;none;none;none
0.0;3;2;10;1;1;58;2;1;10;0;34;1;80;72;none;none;none;none;none;none
0.0;2;1;4;0;1;24;4;1;4;0;15;0;0;60;none;none;none;none;none;none
0.0;6;5;10;0;0;33;0;2;10;0;16;0;100;0;none;none;none;none;none;none
0.0;3;5;1;1;1;21;0;1;1;0;18;1;100;0;none;none;none;none;none;none
1.0;3;2;3;2;1;33;0;1;4;0;23;2;133;19;none;none;none;none;none;none
2.0;9;4;16;3;1;213;1;1;14;0;51;2;81;88;none;none;none;none;none;none
1.0;12;1;15;0;1;66;0;1;10;0;39;0;67;99;none;none;none;none;none;none
1.0;5;2;3;0;1;48;0;3;3;0;28;1;100;30;none;none;none;none;none;none
0.0;2;1;1;0;1;6;0;1;1;0;14;1;100;0;none;none;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
2.0;7;18;7;2;1;210;0;1;10;0;47;6;143;0;none;none;none;none;Data Class;Shotgun Surgery
0.0;0;1;0;0;3;5;0;1;0;0;24;0;0;0;none;none;none;none;none;none